seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(17665,0,31,0)	134	30	1000	1000
(17674,1,115,0)	274	202	947	991
(17676,1,187,0)	222	222	1000	1000
(17682,0,106,0)	358	262	998	1000
(17687,1,19,0)	3	59	1000	1000
(17691,0,150,0)	16	63	885	950
(17691,1,7,0)	21	103	1000	1000
(17698,0,52,0)	14	55	0	0
(17720,1,169,0)	745	878	858	967
(17741,0,84,0)	62	129	1000	1000
(17745,1,35,0)	488	457	1000	1000
(17751,0,150,0)	71	116	1000	1000
(17751,1,42,0)	136	8	931	958
(17752,1,89,0)	216	196	1000	1000
(17756,0,52,0)	531	401	969	999
(17768,1,49,0)	455	353	798	979
(17773,0,130,0)	110	15	0	0
(17784,1,55,0)	202	20	893	970
(17785,0,125,0)	238	98	1000	1000
(17785,1,56,0)	917	948	1000	1000
(17787,1,38,0)	40	149	1000	1000
(17790,0,116,0)	76	5	793	905
(17796,0,15,0)	341	543	1000	1000
(17798,0,24,0)	3	25	0	0
(17799,1,171,0)	217	208	1000	1000
(17826,0,104,0)	152	135	1000	1000
(17833,0,119,0)	282	268	1000	1000
(17840,1,68,0)	33	95	956	958
(17845,0,192,0)	169	104	1000	1000
(17845,1,87,0)	270	353	1000	1000
(17846,1,2,0)	316	281	1000	1000
(17847,0,51,0)	321	160	1000	1000
(17848,0,51,0)	71	25	1000	1000
(17850,0,57,0)	286	88	1000	1000
(17850,0,163,0)	165	332	1000	1000
(17852,0,61,0)	375	410	1000	1000
(17854,1,35,0)	104	0	1000	1000
(17869,0,187,0)	849	974	1000	1000
(17877,0,157,0)	140	127	942	1000
(17882,0,118,0)	246	189	1000	1000
(17892,1,50,0)	21	27	1000	1000
(17904,0,147,0)	35	207	897	976
(17907,0,7,0)	62	19	1000	1000
(17912,1,88,0)	208	179	1000	1000
(17915,0,58,0)	203	227	820	994
(17920,0,166,0)	259	380	982	1000
(17921,0,27,0)	274	315	937	976
(17926,0,122,0)	211	216	1000	1000
(17936,1,187,0)	212	148	1000	1000
(17944,1,176,0)	262	304	1000	1000
(17951,0,130,0)	441	333	1000	1000
(17960,1,162,0)	222	161	1000	1000
(17962,0,152,0)	449	638	915	999
(17985,0,100,0)	87	153	1000	1000
(17989,1,113,0)	280	84	1000	1000
(17997,1,49,0)	33	54	972	1000
(17998,0,149,0)	462	450	1000	1000
(17999,1,47,0)	58	173	1000	1000
(18000,0,69,0)	265	360	736	979
(18004,0,74,0)	285	628	851	980
(18017,1,109,0)	1	5	0	0
(18024,1,29,0)	393	210	1000	1000
(18026,1,186,0)	277	247	1000	1000
(18027,0,31,0)	73	3	0	0
(18041,0,54,0)	314	101	1000	1000
(18041,1,139,0)	71	101	1000	1000
(18044,1,81,0)	11	47	821	951
(18051,0,58,0)	270	362	1000	1000
(18071,1,92,0)	280	452	854	995
(18080,1,30,0)	470	329	1000	1000
(18094,0,63,0)	148	232	1000	1000
(18096,1,131,0)	130	202	1000	1000
(18102,0,105,0)	8	36	0	0
(18111,1,133,0)	383	517	994	997
(18112,0,70,0)	39	57	1000	1000
(18116,0,70,0)	104	27	1000	1000
(18118,1,75,0)	65	1	1000	1000
(18120,0,53,0)	176	250	1000	1000
(18123,0,169,0)	379	440	1000	1000
(18126,1,56,0)	175	260	880	942
(18134,0,97,0)	32	27	838	964
(18136,1,82,0)	456	427	1000	1000
(18138,1,16,0)	24	4	539	948
(18150,1,77,0)	52	128	726	941
(18153,1,124,0)	123	181	1000	1000
(18155,0,195,0)	182	68	971	996
(18155,1,7,0)	164	222	882	969
(18156,0,116,0)	210	287	822	994
(18157,0,163,0)	109	73	1000	1000
(18157,1,88,0)	201	375	990	998
(18157,1,89,0)	89	22	1000	1000
(18162,1,65,0)	119	69	1000	1000
(18163,1,23,0)	67	57	1000	1000
(18168,0,129,0)	837	919	1000	1000
(18168,1,175,0)	183	344	732	944
(18170,1,49,0)	325	493	1000	1000
(18173,0,125,0)	422	429	1000	1000
(18177,1,138,0)	287	190	1000	1000
(18178,1,176,0)	115	107	1000	1000
(18183,1,186,0)	231	39	1000	1000
(18186,1,75,0)	71	121	1000	1000
(18199,0,53,0)	217	210	1000	1000
(18204,1,40,0)	30	29	0	0
(18212,1,2,0)	238	480	1000	1000
(18216,0,98,0)	83	8	0	0
(18227,0,104,0)	298	240	1000	1000
(18227,1,146,0)	44	53	0	0
(18231,0,146,0)	65	87	1000	1000
(18233,0,134,0)	108	261	1000	1000
(18235,0,103,0)	160	71	797	947
(18243,1,77,0)	327	337	1000	1000
(18244,1,63,0)	58	125	708	984
(18245,1,186,0)	49	4	0	0
(18248,0,3,0)	514	474	1000	1000
(18248,1,45,0)	157	156	1000	1000
(18250,0,201,0)	208	98	1000	1000
(18253,1,95,0)	5	42	775	969
(18255,1,176,0)	526	237	1000	1000
(18261,0,30,0)	609	585	1000	1000
(18266,1,203,0)	442	315	1000	1000
(18270,1,109,0)	55	286	1000	1000
(18276,0,148,0)	286	32	1000	1000
(18289,0,152,0)	196	104	1000	1000
(18290,0,63,0)	283	215	999	1000
(18291,1,104,0)	127	92	792	981
(18297,1,177,0)	243	309	1000	1000
(18309,0,179,0)	417	457	1000	1000
(18310,0,68,0)	153	79	1000	1000
(18312,1,157,0)	162	75	1000	1000
(18320,0,191,0)	154	132	916	977
(18324,1,164,0)	38	61	1000	1000
(18332,0,9,0)	131	124	1000	1000
(18332,1,51,0)	96	197	946	999
(18337,1,164,0)	266	163	1000	1000
(18337,1,178,0)	67	24	1000	1000
(18339,1,107,0)	786	616	1000	1000
(18340,1,155,0)	0	11	410	833
(18343,0,51,0)	725	573	1000	1000
(18347,0,167,0)	242	221	1000	1000
(18361,1,30,0)	231	214	977	989
(18370,0,134,0)	60	224	1000	1000
(18381,1,96,0)	100	78	0	0
(18387,1,181,0)	142	100	1000	994
(18400,0,156,0)	444	324	1000	1000
(18404,1,7,0)	36	0	0	0
(18415,1,18,0)	0	26	0	0
(18416,1,59,0)	51	120	969	999
(18418,1,36,0)	537	292	1000	1000
(18418,1,150,0)	78	79	1000	1000
(18428,0,44,0)	166	307	1000	1000
(18430,0,6,0)	562	771	1000	1000
(18431,0,52,0)	309	273	1000	998
(18444,0,188,0)	260	281	1000	1000
(18453,1,134,0)	521	546	1000	1000
(18460,0,100,0)	307	243	1000	1000
(18461,0,11,0)	819	704	1000	1000
(18462,0,48,0)	202	79	1000	993
(18462,1,76,0)	265	210	885	995
(18463,0,181,0)	57	33	422	914
(18467,1,11,0)	87	49	595	937
(18467,1,143,0)	661	922	1000	1000
(18469,1,133,0)	29	0	0	0
(18473,1,54,0)	319	327	971	944
(18478,1,82,0)	145	24	862	990
(18490,0,195,0)	20	14	800	975
(18499,0,197,0)	217	270	847	969
(18501,0,145,0)	175	223	1000	1000
(18502,0,152,0)	129	29	916	964
(18507,1,133,0)	114	98	1000	1000
(18509,1,17,0)	67	3	0	0
(18511,1,7,0)	97	24	633	947
(18513,0,44,0)	474	100	608	846
(18513,0,143,0)	102	265	1000	1000
(18518,1,101,0)	66	6	941	939
(18521,1,116,0)	152	239	1000	1000
(18521,1,160,0)	527	471	1000	1000
(18522,1,5,0)	233	252	1000	1000
(18525,0,6,0)	88	43	886	991
(18525,0,156,0)	103	73	800	987
(18526,1,0,0)	346	333	1000	1000
(18528,1,55,0)	189	227	1000	1000
(18529,0,126,0)	459	266	1000	1000
(18535,0,102,0)	898	933	1000	1000
(18535,1,94,0)	406	129	1000	1000
(18538,0,62,0)	133	508	1000	1000
(18541,0,97,0)	177	15	1000	1000
(18546,0,157,0)	367	337	1000	1000
(18546,0,196,0)	285	220	1000	1000
(18549,1,136,0)	619	428	1000	1000
(18551,0,141,0)	65	153	873	972
(18554,1,105,0)	21	28	0	0
(18555,1,27,0)	243	109	791	989
(18556,0,160,0)	563	623	961	988
(18556,1,4,0)	254	336	782	950
(18573,0,50,0)	120	203	997	1000
(18574,1,150,0)	437	504	1000	1000
(18576,0,44,0)	48	1	0	0
(18580,1,88,0)	457	440	1000	1000
(18587,1,173,0)	68	135	816	950
(18591,1,153,0)	243	277	1000	1000
(18596,0,104,0)	23	85	1000	1000
(18599,1,55,0)	177	9	370	909
(18601,1,55,0)	32	6	0	0
(18602,0,131,0)	47	126	583	949
(18605,0,62,0)	148	181	828	932
(18606,1,169,0)	268	74	524	828
(18608,0,109,0)	299	266	1000	1000
(18613,1,146,0)	70	114	869	985
(18614,1,128,0)	12	173	1000	1000
(18617,0,77,0)	19	54	805	936
(18618,0,113,0)	39	59	871	984
(18634,1,39,0)	215	255	769	974
(18634,1,191,0)	319	287	1000	1000
(18643,0,152,0)	70	246	1000	1000
(18645,0,39,0)	92	134	916	952
(18650,0,130,0)	24	36	0	0
(18654,0,56,0)	318	147	1000	1000
(18656,1,94,0)	492	404	1000	1000
(18659,0,199,0)	54	130	1000	1000
(18661,1,35,0)	173	163	1000	1000
(18662,1,49,0)	108	123	1000	1000
(18669,1,121,0)	578	262	932	996
(18671,1,167,0)	45	52	0	0
(18676,0,48,0)	107	213	1000	1000
(18677,1,132,0)	330	282	1000	1000
(18683,0,96,0)	115	153	886	916
(18684,0,24,0)	15	106	741	963
(18694,0,99,0)	454	247	1000	1000
(18697,0,128,0)	36	7	831	995
(18698,1,146,0)	365	273	1000	1000
(18699,0,160,0)	606	635	880	954
(18701,0,155,0)	121	204	1000	1000
(18703,0,61,0)	275	325	1000	1000
(18706,1,209,0)	58	9	832	973
(18707,1,109,0)	382	379	1000	1000
(18711,0,175,0)	46	26	949	987
(18713,1,125,0)	83	183	1000	1000
(18726,0,141,0)	423	455	1000	1000
(18730,1,71,0)	0	53	1000	1000
(18732,0,36,0)	36	138	1000	1000
(18732,0,118,0)	214	169	1000	1000
(18733,0,36,0)	59	70	878	961
(18733,1,39,0)	450	447	968	999
(18734,0,81,0)	376	196	1000	1000
(18737,1,60,0)	339	110	1000	1000
(18738,0,6,0)	12	42	934	861
(18739,0,112,0)	27	103	1000	1000
(18739,0,136,0)	189	108	1000	1000
(18745,0,152,0)	75	43	1000	1000
(18745,1,159,0)	306	290	1000	1000
(18747,0,143,0)	27	54	894	951
(18750,1,78,0)	84	55	1000	986
(18755,1,100,0)	679	737	1000	1000
(18759,0,187,0)	314	30	755	946
(18760,0,15,0)	2	94	955	992
(18760,0,75,0)	81	4	0	0
(18764,0,81,0)	141	129	950	999
(18768,0,111,0)	0	104	701	936
(18770,1,23,0)	142	124	1000	1000
(18771,0,103,0)	5	0	0	0
(18773,0,20,0)	219	298	1000	1000
(18773,0,191,0)	44	47	830	849
(18774,1,42,0)	188	235	999	1000
(18775,1,100,0)	141	37	743	965
(18777,0,83,0)	89	26	888	979
(18778,1,49,0)	45	38	970	876
(18780,1,110,0)	267	339	1000	1000
(18783,1,86,0)	215	162	781	990
(18784,1,19,0)	249	266	1000	1000
(18784,1,154,0)	107	92	603	880
(18786,1,144,0)	55	62	954	969
(18788,1,159,0)	0	3	0	0
(18790,1,20,0)	67	41	1000	1000
(18792,0,101,0)	309	102	1000	1000
(18794,0,69,0)	144	149	1000	1000
(18795,0,28,0)	281	135	1000	1000
(18795,0,201,0)	146	253	1000	1000
(18795,1,31,0)	237	26	1000	1000
(18799,1,115,0)	241	102	972	999
(18806,0,130,0)	217	20	1000	1000
(18812,1,101,0)	171	297	888	979
(18816,0,4,0)	377	192	742	952
(18816,1,139,0)	76	202	893	991
(18822,0,62,0)	244	468	1000	1000
(18822,1,60,0)	260	73	1000	1000
(18823,1,12,0)	79	178	1000	1000
(18830,0,3,0)	373	226	1000	1000
(18840,1,81,0)	110	3	1000	1000
(18841,1,51,0)	269	174	1000	1000
(18843,1,68,0)	27	27	0	0
(18844,0,139,0)	417	406	1000	1000
(18846,0,30,0)	12	21	1000	1000
(18846,0,78,0)	102	112	1000	1000
(18846,0,101,0)	377	226	1000	1000
(18852,0,176,0)	497	355	863	995
(18853,0,41,0)	0	1	0	0
(18854,0,199,0)	195	326	1000	1000
(18854,1,52,0)	84	55	784	970
(18858,0,52,0)	176	207	764	941
(18861,1,123,0)	261	113	729	989
(18866,0,35,0)	124	203	1000	1000
(18866,1,145,0)	65	40	801	954
(18868,0,24,0)	299	189	1000	1000
(18873,1,111,0)	87	20	0	0
(18878,0,148,0)	188	52	1000	1000
(18878,1,66,0)	3	34	763	934
(18879,0,156,0)	234	163	664	898
(18879,1,118,0)	19	183	1000	1000
(18880,0,82,0)	185	110	751	907
(18881,0,130,0)	63	121	833	930
(18881,1,111,0)	7	16	801	988
(18881,1,150,0)	104	176	814	990
(18882,0,33,0)	362	627	1000	1000
(18884,0,144,0)	251	283	788	974
(18890,0,8,0)	118	221	1000	1000
(18890,1,126,0)	376	219	1000	1000
(18893,0,8,0)	10	57	639	953
(18894,1,167,0)	258	417	1000	1000
(18895,1,47,0)	215	192	975	996
(18896,1,15,0)	2	34	0	0
(18898,1,46,0)	143	76	983	1000
(18899,0,58,0)	359	313	622	985
(18899,1,124,0)	0	18	0	0
(18903,1,87,0)	86	76	839	979
(18904,0,57,0)	210	190	1000	1000
(18905,0,68,0)	104	175	666	929
(18905,0,132,0)	341	361	1000	1000
(18906,1,170,0)	69	44	1000	1000
(18910,0,172,0)	140	180	938	1000
(18916,1,134,0)	198	16	1000	1000
(18918,1,20,0)	41	67	1000	1000
(18918,1,21,0)	303	206	1000	1000
(18920,0,44,0)	100	167	880	954
(18920,0,58,0)	185	83	1000	1000
(18920,0,166,0)	9	12	0	0
(18920,1,110,0)	18	23	713	920
(18924,0,66,0)	5	156	1000	1000
(18930,0,21,0)	72	306	1000	1000
(18932,0,43,0)	0	9	0	0
(18933,0,75,0)	205	222	935	974
(18936,1,88,0)	414	352	1000	1000
(18939,1,170,0)	45	128	961	998
(18940,1,36,0)	27	95	1000	1000
(18942,0,72,0)	765	766	931	977
(18946,0,0,0)	43	78	797	960
(18949,1,7,0)	305	112	903	979
(18951,0,119,0)	172	143	1000	1000
(18951,1,111,0)	186	356	1000	1000
(18952,1,111,0)	5	64	896	934
(18963,0,13,0)	169	212	1000	1000
(18964,0,23,0)	63	0	1000	1000
(18966,0,49,0)	186	193	1000	1000
(18968,1,7,0)	36	18	799	902
(18969,1,144,0)	635	551	1000	1000
(18970,0,150,0)	102	221	1000	1000
(18974,0,125,0)	40	8	0	0
(18975,0,194,0)	180	304	1000	1000
(18975,1,45,0)	2	31	1000	1000
(18976,0,164,0)	123	187	1000	1000
(18977,1,189,0)	280	363	1000	1000
(18979,1,101,0)	45	98	993	1000
(18981,0,83,0)	325	121	909	980
(18986,0,124,0)	394	224	1000	1000
(18986,1,137,0)	404	556	1000	1000
(18988,0,84,0)	46	263	724	935
(18988,0,199,0)	49	13	1000	1000
(18989,0,66,0)	46	0	0	0
(18991,0,62,0)	279	282	1000	1000
(18992,1,165,0)	80	60	803	971
(18993,0,61,0)	37	99	1000	1000
(18994,1,57,0)	179	251	1000	1000
(18995,0,194,0)	114	257	1000	1000
(19002,0,78,0)	346	264	1000	1000
(19003,0,18,0)	254	99	1000	1000
(19004,1,102,0)	368	366	1000	1000
(19005,1,18,0)	143	230	1000	1000
(19005,1,130,0)	29	0	1000	1000
(19006,0,1,0)	42	23	997	990
(19006,0,10,0)	170	264	1000	1000
(19006,0,36,0)	157	33	992	1000
(19012,0,49,0)	1	21	1000	1000
(19014,0,3,0)	538	596	912	968
(19014,1,164,0)	375	499	962	977
(19016,0,88,0)	711	898	1000	1000
(19017,1,131,0)	39	120	710	931
(19017,1,143,0)	43	18	1000	1000
(19021,1,23,0)	381	665	1000	1000
(19025,1,113,0)	1	14	853	982
(19026,0,168,0)	12	3	0	0
(19032,0,100,0)	268	124	722	955
(19033,0,67,0)	596	452	996	996
(19038,0,188,0)	115	106	1000	1000
(19039,1,27,0)	30	71	788	941
(19039,1,58,0)	221	255	1000	1000
(19042,0,149,0)	612	454	1000	1000
(19043,0,52,0)	356	195	1000	1000
(19043,1,125,0)	18	171	1000	1000
(19047,0,205,0)	309	366	1000	1000
(19049,1,103,0)	132	215	1000	1000
(19050,1,207,0)	17	0	0	0
(19052,0,88,0)	401	99	761	982
(19052,0,102,0)	69	7	0	0
(19052,1,36,0)	212	193	1000	1000
(19052,1,37,0)	195	93	0	0
(19054,0,198,0)	60	134	977	1000
(19056,0,144,0)	40	96	1000	1000
(19056,0,150,0)	123	324	808	984
(19057,0,90,0)	9	95	1000	1000
(19058,1,106,0)	0	10	0	0
(19059,0,59,0)	34	4	722	894
(19059,0,187,0)	92	92	922	991
(19059,1,95,0)	269	90	942	999
(19060,0,133,0)	293	547	1000	1000
(19060,0,156,0)	135	288	780	906
(19061,0,87,0)	388	330	1000	1000
(19069,0,204,0)	13	21	847	980
(19071,0,108,0)	80	315	1000	1000
(19073,0,17,0)	419	425	1000	1000
(19075,0,69,0)	189	132	914	996
(19075,1,55,0)	199	274	1000	1000
(19075,1,111,0)	238	199	1000	1000
(19077,1,137,0)	23	66	1000	1000
(19077,1,166,0)	91	33	1000	1000
(19083,1,44,0)	52	10	1000	1000
(19084,1,86,0)	5	25	0	0
(19084,1,183,0)	328	389	1000	1000
(19090,0,9,0)	35	97	899	992
(19090,0,86,0)	17	52	733	958
(19096,0,149,0)	94	120	941	966
(19097,1,7,0)	457	386	1000	1000
(19097,1,208,0)	203	277	1000	1000
(19102,1,74,0)	125	191	812	949
(19103,0,74,0)	4	86	776	927
(19104,0,67,0)	41	19	750	961
(19104,0,93,0)	8	38	1000	1000
(19104,0,125,0)	296	291	1000	1000
(19105,0,20,0)	246	268	961	991
(19105,0,27,0)	462	776	936	1000
(19105,0,59,0)	56	267	1000	1000
(19110,0,91,0)	46	13	1000	1000
(19110,1,87,0)	20	144	984	1000
(19115,1,22,0)	38	53	1000	1000
(19117,0,85,0)	126	117	785	927
(19120,0,181,0)	227	108	1000	1000
(19126,0,143,0)	140	24	923	988
(19127,1,165,0)	124	14	808	991
(19129,1,90,0)	260	259	1000	1000
(19129,1,191,0)	60	79	962	1000
(19130,0,41,0)	217	112	1000	1000
(19132,0,23,0)	32	57	1000	1000
(19132,0,147,0)	65	15	0	0
(19133,0,44,0)	19	54	1000	1000
(19135,0,52,0)	66	68	815	972
(19136,1,133,0)	398	580	893	993
(19138,0,99,0)	179	330	1000	1000
(19141,0,68,0)	93	58	1000	1000
(19141,1,44,0)	411	247	1000	1000
(19142,1,152,0)	36	0	985	999
(19144,1,18,0)	20	56	1000	1000
(19149,1,126,0)	81	22	867	998
(19150,0,47,0)	360	299	895	965
(19151,0,107,0)	326	135	838	979
(19152,1,83,0)	190	102	960	999
(19153,1,162,0)	102	89	1000	1000
(19154,0,9,0)	548	406	1000	1000
(19157,0,183,0)	251	250	1000	1000
(19157,0,204,0)	28	0	0	0
(19158,1,184,0)	3	0	0	0
(19161,0,9,0)	244	137	1000	1000
(19161,0,115,0)	58	53	836	992
(19162,0,37,0)	332	324	579	933
(19162,1,95,0)	311	89	1000	1000
(19164,1,6,0)	43	147	945	979
(19166,0,58,0)	707	545	1000	1000
(19168,0,86,0)	45	1	825	970
(19169,1,77,0)	249	227	1000	1000
(19171,1,156,0)	74	81	1000	994
(19173,1,104,0)	67	182	949	988
(19175,1,99,0)	6	27	0	0
(19176,0,117,0)	103	9	613	919
(19179,1,7,0)	8	7	0	0
(19183,1,138,0)	309	228	602	882
(19184,0,64,0)	126	280	859	889
(19188,0,45,0)	54	110	935	967
(19188,1,37,0)	80	41	1000	1000
(19188,1,91,0)	71	27	1000	1000
(19189,1,120,0)	143	88	750	977
(19190,1,177,0)	52	177	998	1000
(19192,0,74,0)	204	55	875	995
(19192,1,130,0)	7	37	736	956
(19193,1,7,0)	128	111	682	948
(19194,0,5,0)	113	56	826	899
(19194,1,0,0)	16	121	780	967
(19197,1,12,0)	156	301	1000	1000
(19202,0,200,0)	0	4	0	0
(19202,1,143,0)	105	223	1000	1000
(19205,0,77,0)	74	88	942	968
